"","url","coor"
"1","https://en.wikipedia.org/wiki/American_Family_Field","43.02833; -87.97111"
"2","https://en.wikipedia.org/wiki/Angel_Stadium","33.80028; -117.88278"
"3","https://en.wikipedia.org/wiki/Busch_Stadium","38.62250; -90.19306"
"4","https://en.wikipedia.org/wiki/Chase_Field","33.44528; -112.06694"
"5","https://en.wikipedia.org/wiki/Citi_Field","40.75694; -73.84583"
"6","https://en.wikipedia.org/wiki/Citizens_Bank_Park","39.90583; -75.16639"
"7","https://en.wikipedia.org/wiki/Comerica_Park","42.33917; -83.04861"
"8","https://en.wikipedia.org/wiki/Coors_Field","39.75611; -104.99417"
"9","https://en.wikipedia.org/wiki/Dodger_Stadium","34.07361; -118.24000"
"10","https://en.wikipedia.org/wiki/Fenway_Park","42.346250; -71.097750"
"11","https://en.wikipedia.org/wiki/Globe_Life_Field","32.747361; -97.08417"
"12","https://en.wikipedia.org/wiki/Great_American_Ball_Park","39.09750; -84.50667"
"13","https://en.wikipedia.org/wiki/Guaranteed_Rate_Field","41.83000; -87.63389"
"14","https://en.wikipedia.org/wiki/Kauffman_Stadium","39.051; -94.48"
"15","https://en.wikipedia.org/wiki/LoanDepot_Park","25.77806; -80.21972"
"16","https://en.wikipedia.org/wiki/Minute_Maid_Park","29.75694; -95.35556"
"17","https://en.wikipedia.org/wiki/Nationals_Park","38.87278; -77.00750"
"18","https://en.wikipedia.org/wiki/Oracle_Park","37.77861; -122.38917"
"19","https://en.wikipedia.org/wiki/Oriole_Park_at_Camden_Yards","39.28389; -76.62167"
"20","https://en.wikipedia.org/wiki/Petco_Park","32.7073; -117.1566"
"21","https://en.wikipedia.org/wiki/PNC_Park","40.44694; -80.00583"
"22","https://en.wikipedia.org/wiki/Progressive_Field","41.49583; -81.68528"
"23","https://en.wikipedia.org/wiki/Oakland_Coliseum","37.75167; -122.20056"
"24","https://en.wikipedia.org/wiki/Rogers_Centre","43.64139; -79.38917"
"25","https://en.wikipedia.org/wiki/T-Mobile_Park","47.591; -122.333"
"26","https://en.wikipedia.org/wiki/Target_Field","44.98167; -93.27833"
"27","https://en.wikipedia.org/wiki/Tropicana_Field","27.76833; -82.65333"
"28","https://en.wikipedia.org/wiki/Truist_Park","33.89; -84.468"
"29","https://en.wikipedia.org/wiki/Wrigley_Field","41.94806; -87.65556"
"30","https://en.wikipedia.org/wiki/Yankee_Stadium","40.82917; -73.92639"
